query,vectorized_ms,jit_ms,speedup,jit_error
Q01,19.9197,36.7183,0.542499,false
Q02,3.67933,3.303,1.11394,false
Q03,8.271,8.42833,0.981333,false
Q04,9.582,9.39367,1.02005,false
Q05,7.547,7.476,1.0095,false
Q06,3.63433,4.60333,0.7895,false
Q07,7.80167,7.43933,1.04871,false
Q08,6.72967,6.509,1.0339,false
Q09,30.8887,31.949,0.966812,false
Q10,15.491,15.5187,0.998217,false
Q11,1.98133,1.936,1.02342,false
Q12,12.4423,12.1173,1.02682,false
Q13,30.2477,30.1117,1.00452,false
Q14,5.78,5.91967,0.976406,false
Q15,6.333,7.297,0.867891,false
Q16,9.152,9.17467,0.997529,false
Q17,5.64367,6.71033,0.841041,false
Q18,18.8573,19.0547,0.989644,false
Q19,13.8733,13.693,1.01317,false
Q20,5.959,5.99933,0.993277,false
Q21,23.598,23.3427,1.01094,false
Q22,6.169,6.14567,1.0038,false
