query,vectorized_ms,jit_ms,speedup,jit_error
Q01,19.543,37.811,0.51686,false
Q02,3.622,3.253,1.11343,false
Q03,8.47267,8.325,1.01774,false
Q04,9.52533,9.119,1.04456,false
Q05,7.579,7.552,1.00358,false
Q06,3.71633,4.655,0.798353,false
Q07,7.58167,7.42033,1.02174,false
Q08,6.61067,7.096,0.931605,false
Q09,31.2883,32.273,0.969489,false
Q10,16.254,15.775,1.03036,false
Q11,1.99767,1.91533,1.04299,false
Q12,13.3667,13.3593,1.00055,false
Q13,31.6627,34.4397,0.919366,false
Q14,6.646,6.26333,1.0611,false
Q15,6.94,7.09633,0.97797,false
Q16,9.249,9.188,1.00664,false
Q17,5.896,5.92133,0.995722,false
Q18,18.8223,19.03,0.989087,false
Q19,14.007,14.3257,0.977756,false
Q20,6.45167,6.23567,1.03464,false
Q21,24.4527,24.801,0.985955,false
Q22,6.13867,6.18733,0.992134,false
