query,vectorized_ms,jit_ms,speedup,jit_error
DSQ01,1.937,1.773,1.0925,false
DSQ02,3.989,37.895,0.105265,false
DSQ03,0.716,0.649,1.10324,false
DSQ04,7.187,8.035,0.894462,false
DSQ05,3.838,3.87,0.991731,false
DSQ06,2.91,4.622,0.629598,false
DSQ07,2.129,2.23,0.954709,false
DSQ08,3.864,3.281,1.17769,false
DSQ09,2.469,2.624,0.94093,false
DSQ10,3.93,4.222,0.930838,false
DSQ11,5.045,5.428,0.92944,false
DSQ12,1.998,2.28,0.876316,false
DSQ13,3.39,3.268,1.03733,false
DSQ14,9.725,9.287,1.04716,false
DSQ15,1.552,1.418,1.0945,false
DSQ16,2.023,2.267,0.892369,false
DSQ17,4.168,4.234,0.984412,false
DSQ18,3.651,3.857,0.946591,false
DSQ19,1.426,1.463,0.97471,false
DSQ20,1.801,1.93,0.933161,false
DSQ21,1.56,1.43,1.09091,false
DSQ22,1.73,1.682,1.02854,false
DSQ23,5.028,4.866,1.03329,false
DSQ24,1.948,1.853,1.05127,false
DSQ25,2.929,3.022,0.969226,false
DSQ26,2.062,2.028,1.01677,false
DSQ27,2.783,2.927,0.950803,false
DSQ28,3.035,3.02,1.00497,false
DSQ29,3.823,3.726,1.02603,false
DSQ30,2.538,2.523,1.00595,false
DSQ31,4.044,4.12,0.981553,false
DSQ32,1.098,1.04,1.05577,false
DSQ33,2.55,2.548,1.00078,false
DSQ34,2.104,2.033,1.03492,false
DSQ35,4.397,4.271,1.0295,false
DSQ36,3.777,3.564,1.05976,false
DSQ37,0.889,0.979,0.908069,false
DSQ38,2.696,2.499,1.07883,false
DSQ39,1.825,1.985,0.919395,false
DSQ40,1.5,1.478,1.01488,false
DSQ41,2.811,2.898,0.969979,false
DSQ42,0.932,0.894,1.04251,false
DSQ43,1.751,1.699,1.03061,false
DSQ44,1.219,1.349,0.903632,false
DSQ45,1.908,1.827,1.04433,false
DSQ46,2.415,2.511,0.961768,false
DSQ47,5.897,6.878,0.857371,false
DSQ48,2.924,2.722,1.07421,false
DSQ49,3.017,2.728,1.10594,false
DSQ50,2.436,2.706,0.900222,false
DSQ51,5.964,5.988,0.995992,false
DSQ52,1.032,0.98,1.05306,false
DSQ53,1.902,2.177,0.873679,false
DSQ54,2.749,2.574,1.06799,false
DSQ55,0.979,0.901,1.08657,false
DSQ56,2.871,2.931,0.979529,false
DSQ57,6.192,6.102,1.01475,false
DSQ58,3.926,4.272,0.919007,false
DSQ59,6.029,7.975,0.755987,false
DSQ60,3.385,3.085,1.09724,false
DSQ61,2.942,2.448,1.2018,false
DSQ62,2.317,2.54,0.912205,false
DSQ63,1.841,1.829,1.00656,false
DSQ64,7.353,7.395,0.99432,false
DSQ65,2.098,2.391,0.877457,false
DSQ66,8.581,8.178,1.04928,false
DSQ67,5.694,5.455,1.04381,false
DSQ68,2.226,2.558,0.870211,false
DSQ69,4.27,4.441,0.961495,false
DSQ70,2.392,2.335,1.02441,false
DSQ71,2.195,2.028,1.08235,false
DSQ72,6.036,5.977,1.00987,false
DSQ73,2.135,2.023,1.05536,false
DSQ74,3.982,4.249,0.937162,false
DSQ75,4.403,4.73,0.930867,false
DSQ76,1.807,1.813,0.996691,false
DSQ77,3.41,3.252,1.04859,false
DSQ78,4.276,3.97,1.07708,false
DSQ79,2.083,2.033,1.02459,false
DSQ80,4.797,4.58,1.04738,false
DSQ81,2.934,2.824,1.03895,false
DSQ82,0.936,0.92,1.01739,false
DSQ83,3.247,3.234,1.00402,false
DSQ84,1.272,1.17,1.08718,false
DSQ85,3.535,3.729,0.947975,false
DSQ86,2.385,2.319,1.02846,false
DSQ87,3.367,3.289,1.02372,false
DSQ88,11.488,11.46,1.00244,false
DSQ89,1.997,1.938,1.03044,false
DSQ90,1.389,1.417,0.98024,false
DSQ91,2.037,2.021,1.00792,false
DSQ92,1.186,1.196,0.991639,false
DSQ93,0.669,0.656,1.01982,false
DSQ94,1.76,1.658,1.06152,false
DSQ95,2.235,2.336,0.956764,false
DSQ96,0.803,0.717,1.11994,false
DSQ97,1.685,1.672,1.00778,false
DSQ98,1.854,2.032,0.912402,false
DSQ99,2.076,2.308,0.89948,false
